1,1,0.8
1,6,0.9
1,20,0.6
2,6,0.9
2,3,0.7
2,1,0.8
3,6,0.9
3,10,0.7
3,1,0.8
4,6,0.9
4,1,0.8
4,2,0.7
5,1,0.9
5,4,0.8
5,10,0.7
6,1,0.8
6,2,0.7
6,19,0.6
7,10,0.8
7,3,0.7
7,8,0.6
8,10,0.9
8,3,0.8
8,4,0.7
9,2,0.8
9,8,0.9
9,3,0.7
10,5,0.8
10,11,0.7
10,4,0.6
11,6,0.9
11,7,0.8
11,1,0.7
12,8,0.8
12,2,0.7
12,3,0.6
13,6,0.9
13,1,0.8
13,7,0.7
14,6,0.8
14,1,0.7
14,12,0.6
15,7,0.9
15,12,0.8
15,18,0.7
16,2,0.9
16,10,0.8
16,15,0.7
17,2,0.9
17,14,0.8
17,15,0.7
18,10,0.8
18,6,0.9
18,1,0.7
19,1,0.8
19,10,0.7
19,2,0.6
20,6,0.9
20,1,0.8
20,4,0.7
